Cement content (%),Suction (MPa),Dry density (g/cm3),UCS (MPa)
0,3.29,1.38,1.16
3,3.29,1.38,1.54
5,3.29,1.38,1.91
8,3.29,1.38,4.06
0,3.29,1.23,0.41
3,3.29,1.23,0.43
5,3.29,1.23,1.1
8,3.29,1.23,2.11
0,3.29,1.08,0.1
3,3.29,1.08,0.17
5,3.29,1.08,0.51
8,3.29,1.08,0.78
0,21.82,1.38,2.8
3,21.82,1.38,3.36
5,21.82,1.38,4.12
8,21.82,1.38,7.77
0,21.82,1.23,0.72
3,21.82,1.23,0.88
5,21.82,1.23,1.95
8,21.82,1.23,3.28
0,21.82,1.08,0.18
3,21.82,1.08,0.22
5,21.82,1.08,0.56
8,21.82,1.08,0.88
0,38,1.38,3.55
3,38,1.38,3.97
5,38,1.38,4.46
8,38,1.38,8.22
0,38,1.23,0.91
3,38,1.23,1.2
5,38,1.23,2.06
8,38,1.23,3.47
0,38,1.08,0.24
3,38,1.08,0.29
5,38,1.08,0.65
8,38,1.08,1
0,48.42,1.38,4.16
3,48.42,1.38,4.98
5,48.42,1.38,5.41
8,48.42,1.38,9.44
0,48.42,1.23,1.06
3,48.42,1.23,1.37
5,48.42,1.23,2.27
8,48.42,1.23,3.83
0,48.42,1.08,0.32
3,48.42,1.08,0.35
5,48.42,1.08,0.78
8,48.42,1.08,1.05
0,113.5,1.38,4.55
3,113.5,1.38,5.31
5,113.5,1.38,7.68
8,113.5,1.38,12.2
0,113.5,1.23,1.32
3,113.5,1.23,1.6
5,113.5,1.23,2.82
8,113.5,1.23,4.55
0,113.5,1.08,0.45
3,113.5,1.08,0.48
5,113.5,1.08,0.87
8,113.5,1.08,1.28
0,149.51,1.38,4.94
3,149.51,1.38,5.65
5,149.51,1.38,8.74
8,149.51,1.38,13.3
0,149.51,1.23,1.75
3,149.51,1.23,2.03
5,149.51,1.23,3.93
8,149.51,1.23,6.26
0,149.51,1.08,0.5
3,149.51,1.08,0.56
5,149.51,1.08,1.19
8,149.51,1.08,1.76
0,198.14,1.38,5.72
3,198.14,1.38,7.48
5,198.14,1.38,12
8,198.14,1.38,19.3
0,198.14,1.23,1.83
3,198.14,1.23,2.22
5,198.14,1.23,4.44
8,198.14,1.23,6.7
0,198.14,1.08,0.66
3,198.14,1.08,0.73
5,198.14,1.08,1.44
8,198.14,1.08,1.9
0,286.7,1.38,7.44
3,286.7,1.38,10
5,286.7,1.38,15.7
8,286.7,1.38,22.1
0,286.7,1.23,2.21
3,286.7,1.23,2.5
5,286.7,1.23,5.46
8,286.7,1.23,8.53
0,286.7,1.08,0.72
3,286.7,1.08,0.87
5,286.7,1.08,1.52
8,286.7,1.08,2.29
