Number,C,PondAsh,RiceHusk,Cement,Curing,UCS,Predicted
1,100,0,0,0,7,118,120
2,100,0,0,0,14,130,122
3,100,0,0,0,28,140,131
4,98,0,0,2,7,163,151
5,98,0,0,2,14,187,161
6,98,0,0,2,28,210,212
7,96,0,0,4,7,174,174
8,96,0,0,4,14,191,205
9,96,0,0,4,28,225,226
10,95,0,5,0,7,129,138
11,95,0,5,0,14,138,144
12,95,0,5,0,28,150,164
13,93,0,5,2,7,250,258
14,93,0,5,2,14,270,262
15,93,0,5,2,28,295,297
16,91,0,5,4,7,265,262
17,91,0,5,4,14,291,292
18,91,0,5,4,28,312,307
19,90,0,10,0,7,150,166
20,90,0,10,0,14,158,164
21,90,0,10,0,28,169,174
22,88,0,10,2,7,275,308
23,88,0,10,2,14,297,295
24,88,0,10,2,28,320,317
25,86,0,10,4,7,293,295
26,86,0,10,4,14,317,323
27,86,0,10,4,28,340,357
28,85,0,15,0,7,138,152
29,85,0,15,0,14,149,149
30,85,0,15,0,28,158,166
31,83,0,15,2,7,257,264
32,83,0,15,2,14,280,260
33,83,0,15,2,28,307,290
34,81,0,15,4,7,281,273
35,81,0,15,4,14,304,301
36,81,0,15,4,28,324,328
37,80,0,20,0,7,138,149
38,80,0,20,0,14,145,155
39,80,0,20,0,28,153,196
40,78,0,20,2,7,233,248
41,78,0,20,2,14,255,265
42,78,0,20,2,28,282,289
43,76,0,20,4,7,250,246
44,76,0,20,4,14,277,268
45,76,0,20,4,28,298,284
46,90,10,0,0,7,134,136
47,90,10,0,0,14,142,137
48,90,10,0,0,28,153,149
49,88,10,0,2,7,258,254
50,88,10,0,2,14,278,263
51,88,10,0,2,28,295,278
52,86,10,0,4,7,250,256
53,86,10,0,4,14,270,280
56,86,10,0,4,28,315,296
57,80,20,0,0,7,142,153
58,80,20,0,0,14,151,148
59,80,20,0,0,28,163,155
60,78,20,0,2,7,245,282
61,78,20,0,2,14,256,294
62,78,20,0,2,28,283,309
63,76,20,0,4,7,265,269
64,76,20,0,4,14,297,298
65,76,20,0,4,28,325,329
66,70,30,0,0,7,160,160
67,70,30,0,0,14,168,158
68,70,30,0,0,28,179,163
69,68,30,0,2,7,257,278
70,68,30,0,2,14,280,303
71,68,30,0,2,28,307,320
72,66,30,0,4,7,299,282
73,66,30,0,4,14,322,308
74,66,30,0,4,28,339,342
75,60,40,0,0,7,158,166
76,60,40,0,0,14,169,170
77,60,40,0,0,28,178,171
78,58,40,0,2,7,275,266
79,58,40,0,2,14,297,286
80,58,40,0,2,28,320,306
81,56,40,0,4,7,328,288
82,56,40,0,4,14,354,309
84,56,40,0,4,28,369,349
85,50,50,0,0,7,168,171
86,50,50,0,0,14,178,175
87,50,50,0,0,28,186,182
88,48,50,0,2,7,235,234
89,48,50,0,2,14,255,251
90,48,50,0,2,28,265,278
91,46,50,0,4,7,265,288
92,46,50,0,4,14,285,308
93,46,50,0,4,28,312,355
94,50,45,5,0,7,198,192
95,50,45,5,0,14,208,204
96,50,45,5,0,28,220,223
97,48,45,5,2,7,270,298
98,48,45,5,2,14,332,318
99,48,45,5,2,28,365,370
100,46,45,5,4,7,308,319
101,46,45,5,4,14,342,358
102,46,45,5,4,28,389,427
103,50,40,10,0,7,221,215
104,50,40,10,0,14,235,228
105,50,40,10,0,28,256,262
106,48,40,10,2,7,345,331
107,48,40,10,2,14,395,359
108,48,40,10,2,28,445,427
109,46,40,10,4,7,418,349
110,46,40,10,4,14,455,408
111,46,40,10,4,28,512,466
112,50,35,15,0,7,210,206
113,50,35,15,0,14,224,216
114,50,35,15,0,28,242,244
115,48,35,15,2,7,290,316
116,48,35,15,2,14,331,342
117,48,35,15,2,28,374,408
118,46,35,15,4,7,332,342
119,46,35,15,4,14,367,400
120,46,35,15,4,28,417,443
121,50,35,20,0,7,198,182
122,50,35,20,0,14,214,202
123,50,30,20,0,28,236,252
124,48,30,20,2,7,267,290
125,48,30,20,2,14,310,315
126,48,30,20,2,28,350,352
127,46,30,20,4,7,297,284
128,46,30,20,4,14,334,317
129,46,30,20,4,28,372,361
