test no.,soil type,gamma_d (kN/m3),curing time (d),C (%),L (%),R (%),q_u (kPa)
1,SM,14,7,0.000,0.000,0.000,105
2,SM,14,7,1.250,2.500,1.250,247
3,SM,14,7,1.875,3.750,1.875,300
4,SM,14,7,2.500,5.000,2.500,320
5,SM,14,7,3.125,6.250,3.125,289
6,SM,15,7,1.250,2.500,1.250,294
7,SM,15,7,1.875,3.750,1.875,461
8,SM,15,7,2.500,5.000,2.500,447
9,SM,15,7,3.125,6.250,3.125,546
10,SM,16,7,1.250,2.500,1.250,512
11,SM,16,7,1.875,3.750,1.875,684
12,SM,16,7,2.500,5.000,2.500,854
13,SM,16,7,3.125,6.250,3.125,833
14,SM,17,7,1.250,2.500,1.250,879
15,SM,17,7,1.875,3.750,1.875,975
16,SM,17,7,2.500,5.000,2.500,1300
17,SM,17,7,3.125,6.250,3.125,1321
18,SM,14,28,1.250,2.500,1.250,274
19,SM,14,28,1.875,3.750,1.875,349
20,SM,14,28,2.500,5.000,2.500,423
21,SM,14,28,3.125,6.250,3.125,603
22,SM,15,28,1.250,2.500,1.250,329
23,SM,15,28,1.875,3.750,1.875,584
24,SM,15,28,2.500,5.000,2.500,752
25,SM,15,28,3.125,6.250,3.125,807
26,SM,16,28,1.250,2.500,1.250,589
27,SM,16,28,1.875,3.750,1.875,746
28,SM,16,28,2.500,5.000,2.500,1192
29,SM,16,28,3.125,6.250,3.125,1203
30,SM,17,28,1.250,2.500,1.250,890
31,SM,17,28,1.875,3.750,1.875,1421
32,SM,17,28,2.500,5.000,2.500,1865
33,SM,17,28,3.125,6.250,3.125,1724
34,SM,14,60,1.250,2.500,1.250,425
35,SM,14,60,1.875,3.750,1.875,559
36,SM,14,60,2.500,5.000,2.500,602
37,SM,14,60,3.125,6.250,3.125,812
38,SM,15,60,1.250,2.500,1.250,539
39,SM,15,60,1.875,3.750,1.875,744
40,SM,15,60,2.500,5.000,2.500,944
41,SM,15,60,3.125,6.250,3.125,1052
42,SM,16,60,1.250,2.500,1.250,783
43,SM,16,60,1.875,3.750,1.875,900
44,SM,16,60,2.500,5.000,2.500,1509
45,SM,16,60,3.125,6.250,3.125,1476
46,SM,17,60,1.250,2.500,1.250,1005
47,SM,17,60,1.875,3.750,1.875,1559
48,SM,17,60,2.500,5.000,2.500,2099
49,SM,17,60,3.125,6.250,3.125,1947
50,SM,14,7,1.250,2.500,0.000,202
51,SM,14,7,1.875,3.750,0.000,279
52,SM,14,7,2.500,5.000,0.000,306
53,SM,14,7,3.125,6.250,0.000,312
54,SM,14,28,1.250,2.500,0.000,237
55,SM,14,28,1.875,3.750,0.000,352
56,SM,14,28,2.500,5.000,0.000,377
57,SM,14,28,3.125,6.250,0.000,462
58,SM,14,60,1.250,2.500,0.000,336
59,SM,14,60,1.875,3.750,0.000,480
60,SM,14,60,2.500,5.000,0.000,522
61,SM,14,60,3.125,6.250,0.000,517
62,MH,11,0,0.000,0.000,0.000,25
63,MH,11,7,1.250,2.500,1.250,60
64,MH,11,7,1.875,3.750,1.875,63
65,MH,11,7,2.500,5.000,2.500,65
66,MH,11,7,3.125,6.250,3.125,83
67,MH,11,7,3.750,7.500,3.750,81
68,MH,12,7,1.250,2.500,1.250,67
69,MH,12,7,1.875,3.750,1.875,73
70,MH,12,7,2.500,5.000,2.500,79
71,MH,12,7,3.125,6.250,3.125,108
72,MH,12,7,3.750,7.500,3.750,86
73,MH,13,7,1.250,2.500,1.250,112
74,MH,13,7,1.875,3.750,1.875,122
75,MH,13,7,2.500,5.000,2.500,148
76,MH,13,7,3.125,6.250,3.125,176
77,MH,13,7,3.750,7.500,3.750,150
78,MH,14,7,1.250,2.500,1.250,204
79,MH,14,7,1.875,3.750,1.875,239
80,MH,14,7,2.500,5.000,2.500,262
81,MH,14,7,3.125,6.250,3.125,285
82,MH,14,7,3.750,7.500,3.750,293
83,MH,11,28,1.250,2.500,1.250,117
84,MH,11,28,1.875,3.750,1.875,121
85,MH,11,28,2.500,5.000,2.500,133
86,MH,11,28,3.125,6.250,3.125,150
87,MH,11,28,3.750,7.500,3.750,174
88,MH,12,28,1.250,2.500,1.250,125
89,MH,12,28,1.875,3.750,1.875,130
90,MH,12,28,2.500,5.000,2.500,140
91,MH,12,28,3.125,6.250,3.125,198
92,MH,12,28,3.750,7.500,3.750,199
93,MH,13,28,1.250,2.500,1.250,160
94,MH,13,28,1.875,3.750,1.875,191
95,MH,13,28,2.500,5.000,2.500,238
96,MH,13,28,3.125,6.250,3.125,323
97,MH,13,28,3.750,7.500,3.750,329
98,MH,14,28,1.250,2.500,1.250,276
99,MH,14,28,1.875,3.750,1.875,358
100,MH,14,28,2.500,5.000,2.500,373
101,MH,14,28,3.125,6.250,3.125,456
102,MH,14,28,3.750,7.500,3.750,447
103,MH,11,60,1.250,2.500,1.250,121
104,MH,11,60,1.875,3.750,1.875,135
105,MH,11,60,2.500,5.000,2.500,138
106,MH,11,60,3.125,6.250,3.125,151
107,MH,11,60,3.750,7.500,3.750,181
108,MH,12,60,1.250,2.500,1.250,151
109,MH,12,60,1.875,3.750,1.875,136
110,MH,12,60,2.500,5.000,2.500,147
111,MH,12,60,3.125,6.250,3.125,204
112,MH,12,60,3.750,7.500,3.750,209
113,MH,13,60,1.250,2.500,1.250,168
114,MH,13,60,1.875,3.750,1.875,189
115,MH,13,60,2.500,5.000,2.500,249
116,MH,13,60,3.125,6.250,3.125,338
117,MH,13,60,3.750,7.500,3.750,344
118,MH,14,60,1.250,2.500,1.250,285
119,MH,14,60,1.875,3.750,1.875,371
120,MH,14,60,2.500,5.000,2.500,386
121,MH,14,60,3.125,6.250,3.125,474
122,MH,14,60,3.750,7.500,3.750,482
123,MH,11,7,1.250,2.500,0.000,44
124,MH,11,7,1.875,3.750,0.000,60
125,MH,11,7,2.500,5.000,0.000,60
126,MH,11,7,3.125,6.250,0.000,77
127,MH,11,7,3.750,7.500,0.000,79
128,MH,11,28,1.250,2.500,0.000,88
129,MH,11,28,1.875,3.750,0.000,94
130,MH,11,28,2.500,5.000,0.000,101
131,MH,11,28,3.125,6.250,0.000,124
132,MH,11,28,3.750,7.500,0.000,156
133,MH,11,60,1.250,2.500,0.000,118
134,MH,11,60,1.875,3.750,0.000,130
135,MH,11,60,2.500,5.000,0.000,130
136,MH,11,60,3.125,6.250,0.000,145
137,MH,11,60,3.750,7.500,0.000,172
